ID,Name,Species,Diet,Habitat,Weight,Age,Speed
3,231,Insecta,Carnivor,Aviatic,34.0,2,2
4,231,Insecta,Carnivor,Aviatic,34.0,2,2
5,mercan,Insecta,Carnivor,Aviatic,3.0,3,3
11,eqw,Insecta,Carnivor,Acvatic,213.0,12,12
12,we,Pasare,Ierbivor,Terestru,23.0,123,123
13,hejwf,Pasare,Ierbivor,Terestru,324.0,23,23
14,23e,Pasare,Omnivor,Terestru,2.0,123,123
15,231,Insecta,Carnivor,Aviatic,34.0,2,2
16,qwe,Insecta,Omnivor,Acvatic,3.0,12,12
17,ytg,Pasare,Ierbivor,Terestru,697.0,67,67
18,31,Pasare,Ierbivor,Terestru,2453.0,24,24
